date,product_id,stock_on_hand
2023-02-05,PRD1029,7491
2023-02-05,PRD1030,857
2023-02-05,PRD1031,6316
2023-02-05,PRD1032,1121
2023-02-05,PRD1034,2368
2023-02-05,PRD1035,189
2023-02-05,PRD1036,6088
2023-02-05,PRD1037,2528
2023-02-05,PRD1038,8567
2023-02-05,PRD1039,4515
2023-02-05,PRD1040,4117
2023-02-05,PRD1041,6628
2023-02-05,PRD1042,9576
2023-02-05,PRD1043,5255
2023-02-05,PRD1044,4578
2023-02-05,PRD1045,9948
2023-02-05,PRD1046,2419
2023-02-05,PRD1047,6788
2023-02-05,PRD1048,135
2023-02-05,PRD1049,6315
2023-02-12,PRD1000,7243
2023-02-12,PRD1001,7113
2023-02-12,PRD1002,4278
2023-02-12,PRD1004,4541
2023-02-12,PRD1005,7313
2023-02-12,PRD1006,1400
2023-02-12,PRD1009,9613
2023-02-12,PRD1010,3082
2023-02-12,PRD1011,8364
2023-02-12,PRD1012,3902
2023-02-12,PRD1013,3457
2023-02-12,PRD1014,6383
2023-02-12,PRD1015,8056
2023-02-12,PRD1016,4603
2023-02-12,PRD1017,1391
2023-02-12,PRD1018,3187
2023-02-12,PRD1019,2097
2023-02-12,PRD1022,1594
2023-02-12,PRD1023,3134
2023-02-12,PRD1024,3846
2023-02-12,PRD1025,5948
2023-02-12,PRD1026,9576
2023-02-12,PRD1027,7441
2023-02-12,PRD1028,9916
2023-02-12,PRD1029,8830
2023-02-12,PRD1030,8081
2023-02-12,PRD1031,2615
2023-02-12,PRD1032,8121
2023-02-12,PRD1033,5251
2023-02-12,PRD1034,1864
2023-02-12,PRD1035,2582
2023-02-12,PRD1036,1535
2023-02-12,PRD1037,8758
2023-02-12,PRD1038,3417
2023-02-12,PRD1039,4616
2023-02-12,PRD1040,4179
2023-02-12,PRD1041,9435
2023-02-12,PRD1042,4169
2023-02-12,PRD1043,1931
2023-02-12,PRD1044,9304
2023-02-12,PRD1045,3187
2023-02-12,PRD1046,1268
2023-02-12,PRD1047,2828
2023-02-12,PRD1048,6909
2023-02-12,PRD1049,9077
2023-02-19,PRD1000,5735
2023-02-19,PRD1001,2156
2023-02-19,PRD1002,6691
2023-02-19,PRD1003,762
2023-02-19,PRD1004,5002
2023-02-19,PRD1005,2177
2023-02-19,PRD1006,8970
2023-02-19,PRD1009,5135
2023-02-19,PRD1010,304
2023-02-19,PRD1011,2996
2023-02-19,PRD1012,9375
2023-02-19,PRD1013,2667
2023-02-19,PRD1014,1662
2023-02-19,PRD1015,4445
2023-02-19,PRD1016,8058
2023-02-19,PRD1017,6351
2023-02-19,PRD1018,3539
2023-02-19,PRD1019,5924
2023-02-19,PRD1022,8265
2023-02-19,PRD1023,8301
2023-02-19,PRD1024,4515
2023-02-19,PRD1025,9474
2023-02-19,PRD1026,3103
2023-02-19,PRD1027,2408
2023-02-19,PRD1028,5551
2023-02-19,PRD1029,9523
2023-02-19,PRD1030,1751
2023-02-19,PRD1031,7329
2023-02-19,PRD1032,3202
2023-02-19,PRD1033,6325
2023-02-19,PRD1034,2721
2023-02-19,PRD1035,4657
2023-02-19,PRD1036,6548
2023-02-19,PRD1037,4207
2023-02-19,PRD1038,5307
2023-02-19,PRD1039,6744
2023-02-19,PRD1040,5382
2023-02-19,PRD1041,2854
2023-02-19,PRD1042,7877
2023-02-19,PRD1043,5246
2023-02-19,PRD1044,2936
2023-02-19,PRD1045,1743
2023-02-19,PRD1046,5438
2023-02-19,PRD1047,8979
2023-02-19,PRD1048,5874
2023-02-19,PRD1049,5703
2023-02-26,PRD1000,9458
2023-02-26,PRD1001,1461
2023-02-26,PRD1002,9813
2023-02-26,PRD1003,8324
2023-02-26,PRD1004,9628
2023-02-26,PRD1005,6401
2023-02-26,PRD1006,4783
2023-02-26,PRD1009,3866
2023-02-26,PRD1010,4666
2023-02-26,PRD1011,9903
2023-02-26,PRD1012,4120
2023-02-26,PRD1013,4778
2023-02-26,PRD1014,3975
2023-02-26,PRD1015,5232
2023-02-26,PRD1016,923
2023-02-26,PRD1017,6144
2023-02-26,PRD1018,1153
2023-02-26,PRD1019,8090
2023-02-26,PRD1020,8703
2023-02-26,PRD1022,1644
2023-02-26,PRD1023,2698
2023-02-26,PRD1024,2861
2023-02-26,PRD1025,4362
2023-02-26,PRD1026,2666
2023-02-26,PRD1027,7364
2023-02-26,PRD1028,640
2023-02-26,PRD1029,643
2023-02-26,PRD1030,4297
2023-02-26,PRD1031,3698
2023-02-26,PRD1032,3470
2023-02-26,PRD1033,3906
2023-02-26,PRD1034,7454
2023-02-26,PRD1035,8072
2023-02-26,PRD1036,8022
2023-02-26,PRD1037,3552
2023-02-26,PRD1038,6911
2023-02-26,PRD1039,178
2023-02-26,PRD1040,3609
2023-02-26,PRD1041,9803
2023-02-26,PRD1042,9430
2023-02-26,PRD1043,9392
2023-02-26,PRD1044,7725
2023-02-26,PRD1045,5815
2023-02-26,PRD1046,7118
2023-02-26,PRD1047,274
2023-02-26,PRD1048,9194
2023-02-26,PRD1049,9158
2023-03-05,PRD1000,165
2023-03-05,PRD1001,1846
2023-03-05,PRD1002,7946
2023-03-05,PRD1003,6626
2023-03-05,PRD1004,8467
2023-03-05,PRD1005,7026
2023-03-05,PRD1006,3241
2023-03-05,PRD1009,3197
2023-03-05,PRD1010,7616
2023-03-05,PRD1011,4952
2023-03-05,PRD1012,2730
2023-03-05,PRD1013,3083
2023-03-05,PRD1014,2777
2023-03-05,PRD1015,335
2023-03-05,PRD1016,429
2023-03-05,PRD1017,1094
2023-03-05,PRD1018,4636
2023-03-05,PRD1019,4174
2023-03-05,PRD1020,4912
2023-03-05,PRD1022,5664
2023-03-05,PRD1023,411
2023-03-05,PRD1024,6930
2023-03-05,PRD1025,2390
2023-03-05,PRD1026,8319
2023-03-05,PRD1027,925
2023-03-05,PRD1028,2441
2023-03-05,PRD1029,1458
2023-03-05,PRD1030,7714
2023-03-05,PRD1031,3814
2023-03-05,PRD1032,4202
2023-03-05,PRD1033,5209
2023-03-05,PRD1034,1430
2023-03-05,PRD1035,7793
2023-03-05,PRD1036,3769
2023-03-05,PRD1037,5080
2023-03-05,PRD1038,6532
2023-03-05,PRD1039,4296
2023-03-05,PRD1040,9506
2023-03-05,PRD1041,9793
2023-03-05,PRD1042,1496
2023-03-05,PRD1043,1908
2023-03-05,PRD1044,9941
2023-03-05,PRD1045,9024
2023-03-05,PRD1046,3468
2023-03-05,PRD1047,3994
2023-03-05,PRD1048,7470
2023-03-05,PRD1049,3973
2023-03-12,PRD1000,3121
2023-03-12,PRD1001,6184
2023-03-12,PRD1002,544
2023-03-12,PRD1003,9594
2023-03-12,PRD1004,6307
2023-03-12,PRD1005,590
2023-03-12,PRD1006,8774
2023-03-12,PRD1007,2171
2023-03-12,PRD1009,2668
2023-03-12,PRD1010,7818
2023-03-12,PRD1011,7459
2023-03-12,PRD1012,7290
2023-03-12,PRD1013,5437
2023-03-12,PRD1014,1524
2023-03-12,PRD1015,9821
2023-03-12,PRD1016,7458
2023-03-12,PRD1017,4238
2023-03-12,PRD1018,9285
2023-03-12,PRD1019,4061
2023-03-12,PRD1020,497
2023-03-12,PRD1022,8239
2023-03-12,PRD1023,3290
2023-03-12,PRD1024,4254
2023-03-12,PRD1025,1035
2023-03-12,PRD1026,4307
2023-03-12,PRD1027,4421
2023-03-12,PRD1028,3471
2023-03-12,PRD1029,6092
2023-03-12,PRD1030,6002
2023-03-12,PRD1031,3024
2023-03-12,PRD1032,7189
2023-03-12,PRD1033,5517
2023-03-12,PRD1034,4594
2023-03-12,PRD1035,8355
2023-03-12,PRD1036,4214
2023-03-12,PRD1037,2242
2023-03-12,PRD1038,1042
2023-03-12,PRD1039,5582
2023-03-12,PRD1040,4594
2023-03-12,PRD1041,4701
2023-03-12,PRD1042,9434
2023-03-12,PRD1043,2474
2023-03-12,PRD1044,9591
2023-03-12,PRD1045,5592
2023-03-12,PRD1046,3290
2023-03-12,PRD1047,9963
2023-03-12,PRD1048,6436
2023-03-12,PRD1049,1355
2023-03-19,PRD1000,6479
2023-03-19,PRD1001,2123
2023-03-19,PRD1002,6801
2023-03-19,PRD1003,5812
2023-03-19,PRD1004,4651
2023-03-19,PRD1005,6567
2023-03-19,PRD1006,5112
2023-03-19,PRD1007,9832
2023-03-19,PRD1009,4776
2023-03-19,PRD1010,7904
2023-03-19,PRD1011,7507
2023-03-19,PRD1012,6345
2023-03-19,PRD1013,6556
2023-03-19,PRD1014,7268
2023-03-19,PRD1015,2367
2023-03-19,PRD1016,9719
2023-03-19,PRD1017,6743
2023-03-19,PRD1018,6237
2023-03-19,PRD1019,3114
2023-03-19,PRD1020,1173
2023-03-19,PRD1022,2092
2023-03-19,PRD1023,7827
2023-03-19,PRD1024,2650
2023-03-19,PRD1025,4440
2023-03-19,PRD1026,5201
2023-03-19,PRD1027,8361
2023-03-19,PRD1028,8957
2023-03-19,PRD1029,9889
2023-03-19,PRD1030,2604
2023-03-19,PRD1031,4127
2023-03-19,PRD1032,1406
2023-03-19,PRD1033,7701
2023-03-19,PRD1034,191
2023-03-19,PRD1035,3958
2023-03-19,PRD1036,9860
2023-03-19,PRD1037,7817
2023-03-19,PRD1038,4620
2023-03-19,PRD1039,6820
2023-03-19,PRD1040,2930
2023-03-19,PRD1041,1470
2023-03-19,PRD1042,773
2023-03-19,PRD1043,3836
2023-03-19,PRD1044,2309
2023-03-19,PRD1045,8169
2023-03-19,PRD1046,6779
2023-03-19,PRD1047,3396
2023-03-19,PRD1048,5415
2023-03-19,PRD1049,4200
2023-03-26,PRD1000,7137
2023-03-26,PRD1001,6863
2023-03-26,PRD1002,7614
2023-03-26,PRD1003,7796
2023-03-26,PRD1004,2972
2023-03-26,PRD1005,9940
2023-03-26,PRD1006,511
2023-03-26,PRD1007,4910
2023-03-26,PRD1009,9717
2023-03-26,PRD1010,5949
2023-03-26,PRD1011,9191
2023-03-26,PRD1012,1445
2023-03-26,PRD1013,5009
2023-03-26,PRD1014,353
2023-03-26,PRD1015,2769
2023-03-26,PRD1016,3123
2023-03-26,PRD1017,4359
2023-03-26,PRD1018,137
2023-03-26,PRD1019,643
2023-03-26,PRD1020,6196
2023-03-26,PRD1022,4081
2023-03-26,PRD1023,7470
2023-03-26,PRD1024,532
2023-03-26,PRD1025,6388
2023-03-26,PRD1026,1643
2023-03-26,PRD1027,8040
2023-03-26,PRD1028,8239
2023-03-26,PRD1029,8946
2023-03-26,PRD1030,4269
2023-03-26,PRD1031,290
2023-03-26,PRD1032,7063
2023-03-26,PRD1033,3493
2023-03-26,PRD1034,5477
2023-03-26,PRD1035,244
2023-03-26,PRD1036,933
2023-03-26,PRD1037,3034
2023-03-26,PRD1038,5186
2023-03-26,PRD1039,2994
2023-03-26,PRD1040,6726
2023-03-26,PRD1041,5325
2023-03-26,PRD1042,5463
2023-03-26,PRD1043,7166
2023-03-26,PRD1044,6801
2023-03-26,PRD1045,9076
2023-03-26,PRD1046,4126
2023-03-26,PRD1047,1049
2023-03-26,PRD1048,4619
2023-03-26,PRD1049,223
2023-04-02,PRD1000,747
2023-04-02,PRD1001,7735
2023-04-02,PRD1002,325
2023-04-02,PRD1003,6496
2023-04-02,PRD1004,6265
2023-04-02,PRD1005,3370
2023-04-02,PRD1006,5209
2023-04-02,PRD1007,4887
2023-04-02,PRD1009,3883
2023-04-02,PRD1010,5454
2023-04-02,PRD1011,4055
2023-04-02,PRD1012,9907
2023-04-02,PRD1013,882
2023-04-02,PRD1014,4828
2023-04-02,PRD1015,2814
2023-04-02,PRD1016,9804
2023-04-02,PRD1017,4386
2023-04-02,PRD1018,4192
2023-04-02,PRD1019,1888
2023-04-02,PRD1020,7068
2023-04-02,PRD1022,9356
2023-04-02,PRD1023,5108
2023-04-02,PRD1024,2402
2023-04-02,PRD1025,9665
2023-04-02,PRD1026,8274
2023-04-02,PRD1027,9653
2023-04-02,PRD1028,5550
2023-04-02,PRD1029,7790
2023-04-02,PRD1030,649
2023-04-02,PRD1031,1566
2023-04-02,PRD1032,4985
2023-04-02,PRD1033,5002
2023-04-02,PRD1034,6319
2023-04-02,PRD1035,6747
2023-04-02,PRD1036,6320
2023-04-02,PRD1037,1377
2023-04-02,PRD1038,3520
2023-04-02,PRD1039,6974
2023-04-02,PRD1040,1996
2023-04-02,PRD1041,8677
2023-04-02,PRD1042,8808
2023-04-02,PRD1043,1037
2023-04-02,PRD1044,7086
2023-04-02,PRD1045,838
2023-04-02,PRD1046,8946
2023-04-02,PRD1047,6863
2023-04-02,PRD1048,9295
2023-04-02,PRD1049,1994
2023-04-09,PRD1000,9012
2023-04-09,PRD1001,9611
2023-04-09,PRD1002,7164
2023-04-09,PRD1003,3927
2023-04-09,PRD1004,4279
2023-04-09,PRD1005,8704
2023-04-09,PRD1006,2527
2023-04-09,PRD1007,1495
2023-04-09,PRD1009,8385
2023-04-09,PRD1010,7415
2023-04-09,PRD1011,8147
2023-04-09,PRD1012,4921
2023-04-09,PRD1013,3989
2023-04-09,PRD1014,7160
2023-04-09,PRD1015,3953
2023-04-09,PRD1016,9346
2023-04-09,PRD1017,5527
2023-04-09,PRD1018,8851
2023-04-09,PRD1019,3363
2023-04-09,PRD1020,2354
2023-04-09,PRD1022,5927
2023-04-09,PRD1023,5378
2023-04-09,PRD1024,8861
2023-04-09,PRD1025,4727
2023-04-09,PRD1026,8528
2023-04-09,PRD1027,2467
2023-04-09,PRD1028,1819
2023-04-09,PRD1029,9832
2023-04-09,PRD1030,6699
2023-04-09,PRD1031,5317
2023-04-09,PRD1032,9510
2023-04-09,PRD1033,4542
2023-04-09,PRD1034,5479
2023-04-09,PRD1035,6236
2023-04-09,PRD1036,6557
2023-04-09,PRD1037,3473
2023-04-09,PRD1038,8919
2023-04-09,PRD1039,3329
2023-04-09,PRD1040,1204
2023-04-09,PRD1041,9405
2023-04-09,PRD1042,3058
2023-04-09,PRD1043,7932
2023-04-09,PRD1044,2551
2023-04-09,PRD1045,4049
2023-04-09,PRD1046,4163
2023-04-09,PRD1047,5678
2023-04-09,PRD1048,8594
2023-04-09,PRD1049,2628
2023-04-16,PRD1000,2947
2023-04-16,PRD1001,5407
2023-04-16,PRD1002,4338
2023-04-16,PRD1003,9285
2023-04-16,PRD1004,156
2023-04-16,PRD1005,1693
2023-04-16,PRD1006,6999
2023-04-16,PRD1007,1073
2023-04-16,PRD1009,6143
2023-04-16,PRD1010,7454
2023-04-16,PRD1011,5673
2023-04-16,PRD1012,5777
2023-04-16,PRD1013,7292
2023-04-16,PRD1014,3907
2023-04-16,PRD1015,1091
2023-04-16,PRD1016,7674
2023-04-16,PRD1017,4970
2023-04-16,PRD1018,4923
2023-04-16,PRD1019,3782
2023-04-16,PRD1020,2667
2023-04-16,PRD1021,6791
2023-04-16,PRD1022,5932
2023-04-16,PRD1023,2544
2023-04-16,PRD1024,4452
2023-04-16,PRD1025,3999
2023-04-16,PRD1026,4587
2023-04-16,PRD1027,4156
2023-04-16,PRD1028,1355
2023-04-16,PRD1029,2909
2023-04-16,PRD1030,4929
2023-04-16,PRD1031,9135
2023-04-16,PRD1032,5216
2023-04-16,PRD1033,1242
2023-04-16,PRD1034,4643
2023-04-16,PRD1035,4721
2023-04-16,PRD1036,5520
2023-04-16,PRD1037,2676
2023-04-16,PRD1038,6691
2023-04-16,PRD1039,135
2023-04-16,PRD1040,7079
2023-04-16,PRD1041,3597
2023-04-16,PRD1042,5203
2023-04-16,PRD1043,7570
2023-04-16,PRD1044,2148
2023-04-16,PRD1045,4361
2023-04-16,PRD1046,5617
2023-04-16,PRD1047,4006
2023-04-16,PRD1048,4974
2023-04-16,PRD1049,8192
2023-04-23,PRD1000,7625
2023-04-23,PRD1001,4733
2023-04-23,PRD1002,7236
2023-04-23,PRD1003,9095
2023-04-23,PRD1004,7152
2023-04-23,PRD1005,8615
2023-04-23,PRD1006,9821
2023-04-23,PRD1007,1578
2023-04-23,PRD1009,3512
2023-04-23,PRD1010,7227
2023-04-23,PRD1011,9981
2023-04-23,PRD1012,2967
2023-04-23,PRD1013,5614
2023-04-23,PRD1014,4462
2023-04-23,PRD1015,4818
2023-04-23,PRD1016,6698
2023-04-23,PRD1017,3180
2023-04-23,PRD1018,3641
2023-04-23,PRD1019,7272
2023-04-23,PRD1020,2268
2023-04-23,PRD1021,1108
2023-04-23,PRD1022,4282
2023-04-23,PRD1023,2080
2023-04-23,PRD1024,4308
2023-04-23,PRD1025,3975
2023-04-23,PRD1026,7805
2023-04-23,PRD1027,2793
2023-04-23,PRD1028,3925
2023-04-23,PRD1029,6688
2023-04-23,PRD1030,1152
2023-04-23,PRD1031,180
2023-04-23,PRD1032,1573
2023-04-23,PRD1033,1811
2023-04-23,PRD1034,3434
2023-04-23,PRD1035,306
2023-04-23,PRD1036,1776
2023-04-23,PRD1037,9639
2023-04-23,PRD1038,1028
2023-04-23,PRD1039,8539
2023-04-23,PRD1040,5935
2023-04-23,PRD1041,5614
2023-04-23,PRD1042,7280
2023-04-23,PRD1043,5781
2023-04-23,PRD1044,5724
2023-04-23,PRD1045,7380
2023-04-23,PRD1046,5175
2023-04-23,PRD1047,812
2023-04-23,PRD1048,1009
2023-04-23,PRD1049,9231
2023-04-30,PRD1000,2991
2023-04-30,PRD1001,6665
2023-04-30,PRD1002,1979
2023-04-30,PRD1003,3952
2023-04-30,PRD1004,6779
2023-04-30,PRD1005,4478
2023-04-30,PRD1006,8563
2023-04-30,PRD1007,9606
2023-04-30,PRD1009,2109
2023-04-30,PRD1010,3313
2023-04-30,PRD1011,1972
2023-04-30,PRD1012,5755
2023-04-30,PRD1013,1759
2023-04-30,PRD1014,6583
2023-04-30,PRD1015,6265
2023-04-30,PRD1016,4657
2023-04-30,PRD1017,8760
2023-04-30,PRD1018,4687
2023-04-30,PRD1019,6169
2023-04-30,PRD1020,7720
2023-04-30,PRD1021,9429
2023-04-30,PRD1022,3869
2023-04-30,PRD1023,7647
2023-04-30,PRD1024,5703
2023-04-30,PRD1025,4051
2023-04-30,PRD1026,7415
2023-04-30,PRD1027,2819
2023-04-30,PRD1028,4036
2023-04-30,PRD1029,3808
2023-04-30,PRD1030,2469
2023-04-30,PRD1031,1644
2023-04-30,PRD1032,4564
2023-04-30,PRD1033,951
2023-04-30,PRD1034,4398
2023-04-30,PRD1035,4237
2023-04-30,PRD1036,3834
2023-04-30,PRD1037,404
2023-04-30,PRD1038,665
2023-04-30,PRD1039,2500
2023-04-30,PRD1040,8501
2023-04-30,PRD1041,6952
2023-04-30,PRD1042,8864
2023-04-30,PRD1043,3368
2023-04-30,PRD1044,7362
2023-04-30,PRD1045,7711
2023-04-30,PRD1046,880
2023-04-30,PRD1047,9696
2023-04-30,PRD1048,9612
2023-04-30,PRD1049,7610
2023-05-07,PRD1000,5891
2023-05-07,PRD1001,2700
2023-05-07,PRD1002,8038
2023-05-07,PRD1003,8962
2023-05-07,PRD1004,3789
2023-05-07,PRD1005,5435
2023-05-07,PRD1006,2032
2023-05-07,PRD1007,3259
2023-05-07,PRD1009,5897
2023-05-07,PRD1010,7533
2023-05-07,PRD1011,7241
2023-05-07,PRD1012,4861
2023-05-07,PRD1013,3770
2023-05-07,PRD1014,5308
2023-05-07,PRD1015,2915
2023-05-07,PRD1016,128
2023-05-07,PRD1017,7459
2023-05-07,PRD1018,9954
2023-05-07,PRD1019,3745
2023-05-07,PRD1020,2710
2023-05-07,PRD1021,7949
2023-05-07,PRD1022,2334
2023-05-07,PRD1023,4291
2023-05-07,PRD1024,9979
2023-05-07,PRD1025,2282
2023-05-07,PRD1026,502
2023-05-07,PRD1027,1880
2023-05-07,PRD1028,7268
2023-05-07,PRD1029,2116
2023-05-07,PRD1030,5993
2023-05-07,PRD1031,7698
2023-05-07,PRD1032,8480
2023-05-07,PRD1033,750
2023-05-07,PRD1034,8879
2023-05-07,PRD1035,8402
2023-05-07,PRD1036,1944
2023-05-07,PRD1037,2826
2023-05-07,PRD1038,6802
2023-05-07,PRD1039,8973
2023-05-07,PRD1040,5217
2023-05-07,PRD1041,2386
2023-05-07,PRD1042,7421
2023-05-07,PRD1043,8423
2023-05-07,PRD1044,381
2023-05-07,PRD1045,5205
